[2025-08-18 17:24:04] === Starting Large Orgs Bucket 4 Repo Health Collection ===
[2025-08-18 17:24:04] Collecting: commits_last_30d + PRs_closed_30d
[2025-08-18 17:24:04] Input file: data/repos/batch_Aug_18/org_repo_counts_large_bucket4.csv
[2025-08-18 17:24:04] Output file: data/output/repo_health_large_bucket4.csv
[2025-08-18 17:27:47]   OK atlassian/dc-app-performance-toolkit: 0 commits, 87 PRs
[2025-08-18 17:27:49]   OK atlassian/1time: 0 commits, 87 PRs
[2025-08-18 17:27:53]   OK atlassian/react-beautiful-dnd: 0 commits, 47 PRs
[2025-08-18 17:27:55]   OK atlassian/data-center-helm-charts: 9 commits, 97 PRs
[2025-08-18 17:27:57]   OK atlassian/oas3-chow-chow: 0 commits, 72 PRs
[2025-08-18 17:28:00]   OK atlassian/koa-oas3: 0 commits, 62 PRs
[2025-08-18 17:28:01]   OK atlassian/pragmatic-drag-and-drop: 18 commits, 1 PRs
[2025-08-18 17:28:04]   OK atlassian/better-ajv-errors: 0 commits, 61 PRs
[2025-08-18 17:28:06]   OK atlassian/stricter: 0 commits, 53 PRs
[2025-08-18 17:28:08]   OK atlassian/terraform-provider-atlassian-operations: 2 commits, 17 PRs
[2025-08-18 17:28:10]   OK atlassian/build-stats: 0 commits, 28 PRs
[2025-08-18 17:28:12]   OK atlassian/jenkins-for-jira: 3 commits, 89 PRs
[2025-08-18 17:28:14]   OK atlassian/go-sentry-api: 0 commits, 29 PRs
[2025-08-18 17:28:16]   OK atlassian/browser-interaction-time: 0 commits, 52 PRs
[2025-08-18 17:28:19]   OK atlassian/escalator: 0 commits, 83 PRs
[2025-08-18 17:28:21]   OK atlassian/homebrew-acli: 4 commits, 25 PRs
[2025-08-18 17:28:22]   OK atlassian/atlassian-mcp-server: 5 commits, 2 PRs
[2025-08-18 17:28:25]   OK atlassian/extract-react-types: 0 commits, 82 PRs
[2025-08-18 17:28:27]   OK atlassian/gostatsd: 0 commits, 75 PRs
[2025-08-18 17:28:30]   OK atlassian/react-sweet-state: 0 commits, 58 PRs
[2025-08-18 17:28:30] Processing org 6/10: CrowdStrike (crowdstrike)
[2025-08-18 17:28:40]   OK crowdstrike/glide-core: 69 commits, 82 PRs
[2025-08-18 17:28:42]   OK crowdstrike/foundry-sample-rapid-response: 36 commits, 95 PRs
[2025-08-18 17:28:44]   OK crowdstrike/foundry-tutorial-quickstart: 0 commits, 8 PRs
[2025-08-18 17:28:46]   OK crowdstrike/foundry-sample-scalable-rtr: 44 commits, 91 PRs
[2025-08-18 17:28:49]   OK crowdstrike/yargs-help-output: 4 commits, 67 PRs
[2025-08-18 17:28:51]   OK crowdstrike/psfalcon: 0 commits, 29 PRs
[2025-08-18 17:28:53]   OK crowdstrike/fcs-action: 6 commits, 30 PRs
