[2025-08-18 17:24:03] === Starting Large Orgs Bucket 1 Repo Health Collection ===
[2025-08-18 17:24:03] Collecting: commits_last_30d + PRs_closed_30d
[2025-08-18 17:24:03] Input file: data/repos/batch_Aug_18/org_repo_counts_large_bucket1.csv
[2025-08-18 17:24:03] Output file: data/output/repo_health_large_bucket1.csv
[2025-08-18 17:24:03] Starting repo extraction for 13 organizations
[2025-08-18 17:28:59]   OK aws/pgcollection: 15 commits, 5 PRs
[2025-08-18 17:29:02]   OK aws/sagemaker-core: 15 commits, 67 PRs
[2025-08-18 17:29:05]   OK aws/shim-loggers-for-containerd: 0 commits, 32 PRs
[2025-08-18 17:29:07]   OK aws/aws-ofi-nccl: 0 commits, 96 PRs
[2025-08-18 17:29:09]   OK aws/aws-cdk-go: 10 commits, 0 PRs
[2025-08-18 17:29:12]   OK aws/aws-node-termination-handler: 1 commits, 40 PRs
[2025-08-18 17:29:14]   OK aws/amazon-neptune-for-graphql: 4 commits, 85 PRs
[2025-08-18 17:29:18]   OK aws/aws-eks-best-practices: 0 commits, 81 PRs
[2025-08-18 17:29:20]   OK aws/sagemaker-xgboost-container: 0 commits, 78 PRs
[2025-08-18 17:29:23]   OK aws/mynah-ui: 21 commits, 92 PRs
[2025-08-18 17:29:26]   OK aws/efs-utils: 0 commits, 63 PRs
[2025-08-18 17:29:29]   OK aws/aws-encryption-sdk: 0 commits, 82 PRs
[2025-08-18 17:29:32]   OK aws/sagemaker-scikit-learn-container: 0 commits, 68 PRs
[2025-08-18 17:29:35]   OK aws/eks-charts: 0 commits, 73 PRs
[2025-08-18 17:29:38]   OK aws/aws-ops-wheel: 0 commits, 77 PRs
[2025-08-18 17:29:42]   OK aws/aws-encryption-sdk-javascript: 0 commits, 8 PRs
[2025-08-18 17:29:45]   OK aws/aws-rfdk: 0 commits, 19 PRs
[2025-08-18 17:29:48]   OK aws/amazon-ssm-agent: 0 commits, 12 PRs
[2025-08-18 17:29:50]   OK aws/amazon-chime-sdk-ios: 0 commits, 90 PRs
[2025-08-18 17:29:53]   OK aws/rolesanywhere-credential-helper: 8 commits, 62 PRs
[2025-08-18 17:29:56]   OK aws/serverless-application-model: 0 commits, 71 PRs
[2025-08-18 17:29:58]   OK aws/network-flow-monitor-agent: 2 commits, 34 PRs
[2025-08-18 17:30:01]   OK aws/ec2-macos-utils: 0 commits, 11 PRs
[2025-08-18 17:30:03]   OK aws/aws-iot-fleetwise-edge: 1 commits, 87 PRs
[2025-08-18 17:30:06]   OK aws/aws-nitro-enclaves-cli: 0 commits, 64 PRs
[2025-08-18 17:30:09]   OK aws/aws-secretsmanager-jdbc: 0 commits, 18 PRs
[2025-08-18 17:30:11]   OK aws/nova-prompt-optimizer: 0 commits, 17 PRs
[2025-08-18 17:30:14]   OK aws/aws-secretsmanager-caching-python: 0 commits, 28 PRs
[2025-08-18 17:30:16]   OK aws/aws-secretsmanager-caching-net: 0 commits, 10 PRs
[2025-08-18 17:30:19]   OK aws/aws-secretsmanager-caching-go: 0 commits, 14 PRs
[2025-08-18 17:30:22]   OK aws/aws-lambda-runtime-interface-emulator: 3 commits, 54 PRs
[2025-08-18 17:30:25]   OK aws/amazon-chime-sdk-android: 0 commits, 83 PRs
[2025-08-18 17:30:28]   OK aws/aws-secretsmanager-caching-java: 0 commits, 13 PRs
[2025-08-18 17:30:31]   OK aws/eventbridge-kafka-connector: 16 commits, 95 PRs
[2025-08-18 17:30:34]   OK aws/aws-sdk-js-crypto-helpers: 0 commits, 16 PRs
[2025-08-18 17:30:37]   OK aws/copilot-cli: 0 commits, 33 PRs
[2025-08-18 17:30:40]   OK aws/constructs: 0 commits, 100 PRs
[2025-08-18 17:30:42]   OK aws/aws-encryption-sdk-python: 0 commits, 54 PRs
[2025-08-18 17:30:45]   OK aws/amazon-ec2-metadata-mock: 0 commits, 82 PRs
[2025-08-18 17:30:48]   OK aws/smithy-go: 11 commits, 93 PRs
[2025-08-18 17:30:52]   OK aws/amazon-ec2-instance-selector: 0 commits, 21 PRs
[2025-08-18 17:30:56]   OK aws/amazon-ecs-service-connect-agent: 2 commits, 71 PRs
[2025-08-18 17:30:58]   OK aws/sagemaker-hyperpod-training-adapter-for-nemo: 3 commits, 15 PRs
[2025-08-18 17:31:01]   OK aws/sagemaker-training-toolkit: 0 commits, 74 PRs
[2025-08-18 17:31:04]   OK aws/aws-codedeploy-agent: 2 commits, 57 PRs
[2025-08-18 17:31:08]   OK aws/aws-sdk-js-codemod: 6 commits, 97 PRs
[2025-08-18 17:31:11]   OK aws/fmeval: 1 commits, 84 PRs
[2025-08-18 17:31:13]   OK aws/amazon-redshift-jdbc-driver: 0 commits, 8 PRs
[2025-08-18 17:31:15]   OK aws/aws-lambda-python-runtime-interface-client: 0 commits, 79 PRs
[2025-08-18 17:31:18]   OK aws/aws-sdk-net-extensions-cognito: 3 commits, 84 PRs
[2025-08-18 17:31:20]   OK aws/aws-security-services-best-practices: 4 commits, 14 PRs
[2025-08-18 17:31:22]   OK aws/selective-search-with-mutual-information-cotraining: 2 commits, 15 PRs
[2025-08-18 17:31:25]   OK aws/graph-notebook: 1 commits, 98 PRs
