[2025-08-18 17:24:03] === Starting Large Orgs Bucket 2 Repo Health Collection ===
[2025-08-18 17:24:03] Collecting: commits_last_30d + PRs_closed_30d
[2025-08-18 17:24:03] Input file: data/repos/batch_Aug_18/org_repo_counts_large_bucket2.csv
[2025-08-18 17:24:03] Output file: data/output/repo_health_large_bucket2.csv
[2025-08-18 17:24:03] Starting repo extraction for 13 organizations
[2025-08-18 17:28:39]   OK telekom/pubsub-horizon-quasar: 1 commits, 17 PRs
[2025-08-18 17:28:41]   OK telekom/controlplane: 17 commits, 73 PRs
[2025-08-18 17:28:43]   OK telekom/3gpp-meeting-tools: 0 commits, 0 PRs
[2025-08-18 17:28:44]   OK telekom/testerra-appium-connector: 0 commits, 21 PRs
[2025-08-18 17:28:46]   OK telekom/testerra-selenoid-connector: 0 commits, 22 PRs
[2025-08-18 17:28:48]   OK telekom/cluster-api-ipam-provider-infoblox: 2 commits, 21 PRs
[2025-08-18 17:28:50]   OK telekom/zeebe-redis-exporter: 23 commits, 0 PRs
[2025-08-18 17:28:52]   OK telekom/pubsub-horizon-spring-parent: 0 commits, 34 PRs
[2025-08-18 17:28:54]   OK telekom/gateway-jumper: 32 commits, 15 PRs
[2025-08-18 17:28:55]   OK telekom/grafana: 100 commits, 0 PRs
[2025-08-18 17:28:58]   OK telekom/testerra: 0 commits, 93 PRs
[2025-08-18 17:29:00]   OK telekom/phonenumber-normalizer: 19 commits, 90 PRs
[2025-08-18 17:29:02]   OK telekom/sparrow: 7 commits, 84 PRs
[2025-08-18 17:29:04]   OK telekom/aifoundation-docs: 5 commits, 35 PRs
[2025-08-18 17:29:06]   OK telekom/gateway-kong-charts: 14 commits, 7 PRs
[2025-08-18 17:29:07]   OK telekom/testerra-skeleton: 0 commits, 1 PRs
[2025-08-18 17:29:09]   OK telekom/trino: 0 commits, 0 PRs
[2025-08-18 17:29:10]   OK telekom/identity-iris-keycloak-charts: 2 commits, 18 PRs
[2025-08-18 17:29:12]   OK telekom/pubsub-horizon-polaris: 1 commits, 17 PRs
[2025-08-18 17:29:14]   OK telekom/pubsub-horizon-probe: 1 commits, 5 PRs
[2025-08-18 17:29:15]   OK telekom/pubsub-horizon-comet: 1 commits, 21 PRs
[2025-08-18 17:29:17]   OK telekom/pubsub-horizon-pulsar: 1 commits, 20 PRs
[2025-08-18 17:29:19]   OK telekom/pubsub-horizon-galaxy: 1 commits, 22 PRs
[2025-08-18 17:29:21]   OK telekom/pubsub-horizon-starlight: 1 commits, 25 PRs
[2025-08-18 17:29:23]   OK telekom/pubsub-horizon-vortex: 1 commits, 11 PRs
[2025-08-18 17:29:25]   OK telekom/pubsub-horizon: 1 commits, 11 PRs
[2025-08-18 17:29:27]   OK telekom/pubsub-horizon-cosmoparrot: 1 commits, 6 PRs
[2025-08-18 17:29:29]   OK telekom/pubsub-horizon-golaris: 10 commits, 32 PRs
[2025-08-18 17:29:32]   OK telekom/pubsub-horizon-go: 3 commits, 35 PRs
[2025-08-18 17:29:34]   OK telekom/gateway-issuer-service-go: 9 commits, 7 PRs
[2025-08-18 17:29:36]   OK telekom/das-schiff-network-operator: 6 commits, 73 PRs
[2025-08-18 17:29:39]   OK telekom/wurzel: 13 commits, 76 PRs
[2025-08-18 17:29:41]   OK telekom/identity-iris-hydra: 0 commits, 6 PRs
[2025-08-18 17:29:43]   OK telekom/identity-iris-hydra-tokenhook: 1 commits, 2 PRs
[2025-08-18 17:29:45]   OK telekom/mltb2: 1 commits, 82 PRs
[2025-08-18 17:29:47]   OK telekom/testerra-teamcity-connector: 0 commits, 7 PRs
[2025-08-18 17:29:49]   OK telekom/gateway-kong-image: 0 commits, 6 PRs
[2025-08-18 17:29:51]   OK telekom/arquillian-core: 4 commits, 0 PRs
