org_name,repo_name,open_issue_count,stars_count,forks_count,last_pushed_date,pull_requests_open_count,about_description
shopify,eng-intern-assessment-rails,241,12,399,2025-08-04,-1,A Starter repo for Shopify Rails Intern assessments
shopify,eng-intern-assessment-react,272,18,385,2025-07-18,-1,A Starter repo for Shopify React Intern assessments
shopify,eng-intern-assessment-react-native,69,5,89,2025-08-07,-1,A Starter repo for Shopify React Native intern assessments
shopify,gruf,0,0,0,2024-01-03,-1,gRPC Ruby Framework
shopify,infra-intern-assessment,115,5,151,2025-08-12,-1,A Starter repo for Shopify Infrastructure Intern assessments
shopify,example-checkout--custom-header-footer--react,1,0,0,2024-01-22,-1,This repo contains an example app that uses checkout UI extensions to build a custom header using React
shopify,reference-theme,0,149,58,2025-04-30,-1,A developer reference theme for Shopify online store themes
shopify,flow-code-examples,2,40,3,2025-08-06,-1,Examples for Flow's Run code action
shopify,example-checkout--custom-header--react,0,1,1,2024-04-18,-1,This repo contains an example app that uses Checkout UI Extensions to build a custom header using React
shopify,example-checkout--custom-header--js,0,1,1,2024-04-18,-1,This repo contains an example app that uses Checkout UI Extensions to build a custom header using JavaScript
shopify,example-checkout--custom-footer--react,0,0,0,2024-06-21,-1,This repo contains an example app that uses Checkout UI Extensions to build a custom footer using React
shopify,example-checkout--custom-footer--js,0,1,0,2024-02-05,-1,This repo contains an example app that uses Checkout UI Extensions to build a custom footer using JavaScript
shopify,grpc-mock,5,0,0,2024-04-19,-1,Run a gRPC mock server by using protobuf reflection.
shopify,reasonableai,17,8,4,2024-07-05,-1,An auditable generative AI framework
shopify,product-taxonomy,65,186,48,2025-08-11,-1,Shopify's standardized product taxonomy.
shopify,protoboeuf,19,46,8,2025-08-04,-1,A pure Ruby implementation of Protobuf designed to optimize well with JIT compilers.
shopify,flink-connector-kafka,1,0,0,2025-07-25,-1,Apache flink
shopify,connect-swift,0,0,0,2024-02-16,-1,The Swift implementation of Connect: Protobuf RPC that works.
shopify,libsql,0,4,2,2025-06-13,-1,"libSQL is a fork of SQLite that is both Open Source, and Open Contributions."
shopify,hydrogen-demo-store,30,189,86,2025-08-11,-1,"This template contains a full-featured setup of components, queries and tooling to get started with Hydrogen. It is deployed to https://hydrogen.shop"
shopify,snapit,10,5,3,2025-08-12,-1,Create a snapshot NPM release with /snapit comment in a PR
shopify,filediff,7,4,0,2025-08-12,-1,Create a filediff comment to compare file size changes
shopify,example-checkout--read-custom-data--react,0,3,0,2024-12-19,-1,Checkout UI Extensions tutorial for reading metafield data
shopify,graphql-codegen,8,35,2,2025-08-12,-1,A codegen preset for generating TypeScript types from GraphQL queries without AST wrappers.
shopify,discovery-apache-beam,5,1,1,2025-03-06,-1,Apache Beam is a unified programming model for Batch and Streaming data processing.
shopify,example-app--embedded-auth--js,1,1,1,2024-10-10,-1,Example app for demonstrating authorization/authentication for embedded apps
shopify,Templates,0,0,1,2024-03-06,-1,Templates for use in the Domain Connect Protocol
shopify,ClickHouse,6,0,2,2025-05-26,-1,ClickHouse® is a free analytics DBMS for big data
shopify,onigmo,1,16,1,2025-08-04,-1,A Ruby wrapper around the onigmo regular expression library
shopify,active_analytics,0,1,1,2024-02-28,-1,"First-party, privacy-focused traffic analytics for Ruby on Rails applications."
shopify,active_analytics-1,0,0,0,2024-02-28,-1,"First-party, privacy-focused traffic analytics for Ruby on Rails applications."
shopify,terraform-exec,1,2,1,2025-02-27,-1,Terraform CLI commands via Go.
shopify,mteb,0,0,0,2024-04-08,-1,MTEB: Massive Text Embedding Benchmark
shopify,prism,3,1,2,2025-07-29,-1,Prism Ruby parser
shopify,tap-youtube-analytics,1,0,0,2024-05-20,-1,
shopify,rubocop,0,2,2,2025-06-18,-1,"A Ruby static code analyzer and formatter, based on the community Ruby style guide."
shopify,partnerpayouts,0,2,0,2024-04-05,-1,Track Partner Manual One-Time Payout Requests
shopify,mocha,0,0,0,2024-12-19,-1,Mocha is a mocking and stubbing library for Ruby
shopify,ulid-ruby,1,0,0,2024-10-28,-1,Universally Unique Lexicographically-sortable time-based Identifiers for Ruby projects
shopify,spring,0,1,1,2025-07-21,-1,Rails application preloader
shopify,eng-internship-challenge,311,15,351,2025-08-12,-1,A Technical Challenge for Engineering Internship applicants
shopify,rquickjs,1,0,0,2024-09-03,-1,High level bindings to the quickjs javascript engine
shopify,editions-dev-2024-workshop-functions,0,1,0,2024-06-20,-1,Code for the 2024 Editions.dev workshop on functions development workflow.
shopify,rb-inotify,1,0,1,2024-09-05,-1,A thorough inotify wrapper for Ruby using FFI.
shopify,skypilot-1,1,1,1,2025-04-29,-1,"SkyPilot: Run LLMs, AI, and Batch jobs on any cloud. Get maximum savings, highest GPU availability, and managed execution—all with a simple interface."
shopify,terraform-provider-catchpoint,1,0,1,2024-07-10,-1,
