org,repo,hyperlink,30d_merge_rate
microsoft,planetary-computer-tasks,https://github.com/microsoft/planetary-computer-tasks,0
microsoft,playwright-dotnet,https://github.com/microsoft/playwright-dotnet,0
microsoft,playwright-java,https://github.com/microsoft/playwright-java,0
microsoft,poml,https://github.com/microsoft/poml,0
microsoft,playwright-pytest,https://github.com/microsoft/playwright-pytest,0
microsoft,TimeCraft,https://github.com/microsoft/TimeCraft,1
microsoft,winget-cli,https://github.com/microsoft/winget-cli,0
microsoft,playwright-vscode,https://github.com/microsoft/playwright-vscode,0
microsoft,Security-101,https://github.com/microsoft/Security-101,1
microsoft,clrmd,https://github.com/microsoft/clrmd,0
microsoft,RD-Agent,https://github.com/microsoft/RD-Agent,0
microsoft,vscode-docs,https://github.com/microsoft/vscode-docs,34
microsoft,qlib,https://github.com/microsoft/qlib,0
microsoft,react-native-windows,https://github.com/microsoft/react-native-windows,0
microsoft,scitt-ccf-ledger,https://github.com/microsoft/scitt-ccf-ledger,0
microsoft,autogen,https://github.com/microsoft/autogen,0
microsoft,AI-Red-Teaming-Playground-Labs,https://github.com/microsoft/AI-Red-Teaming-Playground-Labs,0
microsoft,mssql-python,https://github.com/microsoft/mssql-python,0
microsoft,presidio,https://github.com/microsoft/presidio,0
microsoft,clarity-apps,https://github.com/microsoft/clarity-apps,0
microsoft,WindowsAppSDK,https://github.com/microsoft/WindowsAppSDK,0
microsoft,go,https://github.com/microsoft/go,0
microsoft,JARVIS,https://github.com/microsoft/JARVIS,1
microsoft,data-formulator,https://github.com/microsoft/data-formulator,0
microsoft,ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,1
microsoft,DirectML,https://github.com/microsoft/DirectML,0
microsoft,windows-rs,https://github.com/microsoft/windows-rs,0
microsoft,opensource.microsoft.com,https://github.com/microsoft/opensource.microsoft.com,31
microsoft,vs-streamjsonrpc,https://github.com/microsoft/vs-streamjsonrpc,22
microsoft,microsoft-ui-xaml,https://github.com/microsoft/microsoft-ui-xaml,0
microsoft,windows-ai-studio-templates,https://github.com/microsoft/windows-ai-studio-templates,15
microsoft,mu_common_intel_min_platform,https://github.com/microsoft/mu_common_intel_min_platform,0
microsoft,terraform-provider-msgraph,https://github.com/microsoft/terraform-provider-msgraph,0
microsoft,mu_plus,https://github.com/microsoft/mu_plus,0
microsoft,ai-dev-gallery,https://github.com/microsoft/ai-dev-gallery,23
microsoft,mu_tiano_plus,https://github.com/microsoft/mu_tiano_plus,0
microsoft,mu_basecore,https://github.com/microsoft/mu_basecore,0
microsoft,onnxruntime,https://github.com/microsoft/onnxruntime,0
