org,repo,hyperlink,commits_last_30d,PRs_closed_30d,source,health_score
microsoft,vscode-documentdb,https://github.com/microsoft/vscode-documentdb,58,59,MICROSOFT,176
aws,aws-xray-sdk-node,https://github.com/aws/aws-xray-sdk-node,0,88,LARGE_BUCKET1,176
palantir,fedstart-helm-charts,https://github.com/palantir/fedstart-helm-charts,0,88,LARGE_BUCKET4,176
airbnb,lottie-android,https://github.com/airbnb/lottie-android,0,88,LARGE_BUCKET3,176
palantir,pkg,https://github.com/palantir/pkg,0,88,LARGE_BUCKET4,176
microsoft,data-factory-testing-framework,https://github.com/microsoft/data-factory-testing-framework,0,88,MICROSOFT,176
microsoft,api-guidelines,https://github.com/microsoft/api-guidelines,0,88,MICROSOFT,176
microsoft,macos-cookbook,https://github.com/microsoft/macos-cookbook,0,88,MICROSOFT,176
microsoft,vscode-azureappservice,https://github.com/microsoft/vscode-azureappservice,2,87,MICROSOFT,176
teslamotors,fixed-containers,https://github.com/teslamotors/fixed-containers,0,88,SMALL_ORGS,176
microsoft,security-utilities,https://github.com/microsoft/security-utilities,2,87,MICROSOFT,176
datadog,datadog-cloudformation-resources,https://github.com/DataDog/datadog-cloudformation-resources,0,88,LARGE_BUCKET4,176
aws,aws-aspnet-cognito-identity-provider,https://github.com/aws/aws-aspnet-cognito-identity-provider,0,88,LARGE_BUCKET1,176
datadog,datadog-aas-linux,https://github.com/DataDog/datadog-aas-linux,10,83,LARGE_BUCKET4,176
microsoft,azurelinux,https://github.com/microsoft/azurelinux,38,69,MICROSOFT,176
oracle,container-images,https://github.com/oracle/container-images,14,81,LARGE_BUCKET2,176
sap,abap-file-formats,https://github.com/SAP/abap-file-formats,2,87,LARGE_BUCKET2,176
datadog,dd-sdk-android,https://github.com/DataDog/dd-sdk-android,0,88,LARGE_BUCKET4,176
nvidia,NeMo-Agent-Toolkit,https://github.com/NVIDIA/NeMo-Agent-Toolkit,0,88,LARGE_BUCKET1,176
spotify,pedalboard,https://github.com/spotify/pedalboard,0,88,LARGE_BUCKET3,176
microsoft,azure-devops-extension-tasks,https://github.com/microsoft/azure-devops-extension-tasks,36,70,MICROSOFT,176
stripe,stripe-java,https://github.com/stripe/stripe-java,0,88,SMALL_ORGS,176
sage,design-tokens,https://github.com/Sage/design-tokens,0,88,LARGE_BUCKET4,176
sage,carbon,https://github.com/Sage/carbon,0,88,LARGE_BUCKET4,176
google,oss-fuzz,https://github.com/google/oss-fuzz,0,88,GOOGLE,176
ibm,dbb-zappbuild,https://github.com/IBM/dbb-zappbuild,0,88,IBM,176
oracle,oci-typescript-sdk,https://github.com/oracle/oci-typescript-sdk,0,88,LARGE_BUCKET2,176
square,okhttp,https://github.com/square/okhttp,0,88,LARGE_BUCKET3,176
ibm,ansible-power-aix,https://github.com/IBM/ansible-power-aix,0,88,IBM,176
microsoft,applicationinsights-react-js,https://github.com/microsoft/applicationinsights-react-js,0,88,MICROSOFT,176
microsoft,CsWinRT,https://github.com/microsoft/CsWinRT,0,88,MICROSOFT,176
intel,cartwheel-ffmpeg,https://github.com/intel/cartwheel-ffmpeg,0,88,LARGE_BUCKET2,176
microsoft,azure-health-data-services-toolkit,https://github.com/microsoft/azure-health-data-services-toolkit,0,88,MICROSOFT,176
microsoft,openjdk-docker,https://github.com/microsoft/openjdk-docker,3,86,MICROSOFT,175
apple,swift-distributed-actors,https://github.com/apple/swift-distributed-actors,1,87,LARGE_BUCKET1,175
apple,swift-asn1,https://github.com/apple/swift-asn1,1,87,LARGE_BUCKET1,175
apple,swift-metrics,https://github.com/apple/swift-metrics,1,87,LARGE_BUCKET1,175
microsoft,durabletask-java,https://github.com/microsoft/durabletask-java,1,87,MICROSOFT,175
intel,cartwheel-gstreamer,https://github.com/intel/cartwheel-gstreamer,23,76,LARGE_BUCKET2,175
aws,aws-iot-fleetwise-edge,https://github.com/aws/aws-iot-fleetwise-edge,1,87,LARGE_BUCKET1,175
ibm,platform-services-go-sdk,https://github.com/IBM/platform-services-go-sdk,3,86,IBM,175
dell,helm-charts,https://github.com/dell/helm-charts,17,79,LARGE_BUCKET2,175
shopify,record_store,https://github.com/Shopify/record_store,7,84,LARGE_BUCKET3,175
microsoft,java-debug,https://github.com/microsoft/java-debug,3,86,MICROSOFT,175
aws,aws-cdk-rfcs,https://github.com/aws/aws-cdk-rfcs,15,80,LARGE_BUCKET1,175
crowdstrike,falcon-helm,https://github.com/CrowdStrike/falcon-helm,5,85,LARGE_BUCKET4,175
shopify,deprecation_toolkit,https://github.com/Shopify/deprecation_toolkit,5,85,LARGE_BUCKET3,175
microsoft,secureboot_objects,https://github.com/microsoft/secureboot_objects,3,86,MICROSOFT,175
nvidia,DALI_deps,https://github.com/NVIDIA/DALI_deps,3,86,LARGE_BUCKET1,175
hewlettpackard,morpheus-scvmm-plugin,https://github.com/HewlettPackard/morpheus-scvmm-plugin,51,62,LARGE_BUCKET3,175
databricks,databricks-sdk-py,https://github.com/databricks/databricks-sdk-py,11,82,LARGE_BUCKET4,175
telekom,sparrow,https://github.com/telekom/sparrow,7,84,LARGE_BUCKET2,175
microsoft,mfcmapi,https://github.com/microsoft/mfcmapi,7,84,MICROSOFT,175
microsoft,mu_feature_debugger,https://github.com/microsoft/mu_feature_debugger,1,87,MICROSOFT,175
microsoft,iot-cardboard-js,https://github.com/microsoft/iot-cardboard-js,1,87,MICROSOFT,175
microsoft,cpp_client_telemetry,https://github.com/microsoft/cpp_client_telemetry,11,82,MICROSOFT,175
square,exit,https://github.com/square/exit,0,87,LARGE_BUCKET3,174
sony,nmos-cpp,https://github.com/sony/nmos-cpp,0,87,LARGE_BUCKET2,174
alibaba,ChatLearn,https://github.com/alibaba/ChatLearn,22,76,LARGE_BUCKET1,174
netflix,genie,https://github.com/Netflix/genie,0,87,LARGE_BUCKET2,174
microsoft,Microsoft365DSC,https://github.com/microsoft/Microsoft365DSC,0,87,MICROSOFT,174
intel,cicd-repo-infrastructure,https://github.com/intel/cicd-repo-infrastructure,0,87,LARGE_BUCKET2,174
stripe,stripe-terminal-ios,https://github.com/stripe/stripe-terminal-ios,0,87,SMALL_ORGS,174
google,json_serializable.dart,https://github.com/google/json_serializable.dart,0,87,GOOGLE,174
alibaba,kubeskoop,https://github.com/alibaba/kubeskoop,2,86,LARGE_BUCKET1,174
google,native-pkcs11,https://github.com/google/native-pkcs11,4,85,GOOGLE,174
google,model-viewer,https://github.com/google/model-viewer,0,87,GOOGLE,174
datadog,datadog-go,https://github.com/DataDog/datadog-go,0,87,LARGE_BUCKET4,174
microsoft,win-net-test,https://github.com/microsoft/win-net-test,0,87,MICROSOFT,174
microsoft,m365-renovate-config,https://github.com/microsoft/m365-renovate-config,0,87,MICROSOFT,174
google,blockly,https://github.com/google/blockly,0,87,GOOGLE,174
datadog,ddqa,https://github.com/DataDog/ddqa,0,87,LARGE_BUCKET4,174
microsoft,pxt-jacdac,https://github.com/microsoft/pxt-jacdac,0,87,MICROSOFT,174
datadog,dogapi-rb,https://github.com/DataDog/dogapi-rb,0,87,LARGE_BUCKET4,174
adobe,aepsdk-react-native,https://github.com/adobe/aepsdk-react-native,2,86,LARGE_BUCKET3,174
microsoft,mu_devops,https://github.com/microsoft/mu_devops,2,86,MICROSOFT,174
adobe,spectrum-web-components,https://github.com/adobe/spectrum-web-components,36,69,LARGE_BUCKET3,174
square,square-ruby-sdk,https://github.com/square/square-ruby-sdk,0,87,LARGE_BUCKET3,174
aws,aws-pgsql-odbc,https://github.com/aws/aws-pgsql-odbc,2,86,LARGE_BUCKET1,174
aws,aws-parallelcluster-cookbook,https://github.com/aws/aws-parallelcluster-cookbook,0,87,LARGE_BUCKET1,174
analogdevicesinc,adi-kuiper-gen,https://github.com/analogdevicesinc/adi-kuiper-gen,0,87,LARGE_BUCKET3,174
google,webcrypto.dart,https://github.com/google/webcrypto.dart,0,87,GOOGLE,174
ocadotechnology,rapid-router,https://github.com/ocadotechnology/rapid-router,0,87,SMALL_ORGS,174
microsoft,service-fabric-explorer,https://github.com/microsoft/service-fabric-explorer,0,87,MICROSOFT,174
atlassian,dc-app-performance-toolkit,https://github.com/atlassian/dc-app-performance-toolkit,0,87,LARGE_BUCKET4,174
atlassian,1time,https://github.com/atlassian/1time,0,87,LARGE_BUCKET4,174
shopify,product-taxonomy,https://github.com/Shopify/product-taxonomy,10,82,LARGE_BUCKET3,174
uber,arcanist,https://github.com/uber/arcanist,0,87,LARGE_BUCKET2,174
microsoft,nav-arm-templates,https://github.com/microsoft/nav-arm-templates,0,87,MICROSOFT,174
dell,omnia,https://github.com/dell/omnia,0,87,LARGE_BUCKET2,174
aws,aws-advanced-go-wrapper,https://github.com/aws/aws-advanced-go-wrapper,14,80,LARGE_BUCKET1,174
shopify,FunctionalTableData,https://github.com/Shopify/FunctionalTableData,0,87,LARGE_BUCKET3,174
