org_name,repo_name,issue_title,comments_count,labels,opened_date,hyperlink
shopify,cli,[Bug]: Don't Run npm/yarn install When Deploying Theme Extension,1,Type: Bug,2025-06-05,https://github.com/shopify/cli/issues/5952
shopify,cli,[Bug]: Being signed out randomly on CLI 3.80.0,12,Type: Bug,2025-05-18,https://github.com/shopify/cli/issues/5826
shopify,cli,[Bug]: Unable to launch CLI - Unexpected end of JSON input,4,Type: Bug,2025-06-11,https://github.com/shopify/cli/issues/5970
shopify,cli,[Bug]: Code minimization does not happen in `app dev` but does in `app build`.,7,Type: Bug,2025-05-18,https://github.com/shopify/cli/issues/5825
shopify,cli,[Bug]: `app dev` command not working properly,1,Type: Bug,2025-06-07,https://github.com/shopify/cli/issues/5956
shopify,cli,[Bug]: `shopify app generate extension` for `ProductConfigurationCard` generates incorrect type import,0,Type: Bug,2025-06-09,https://github.com/shopify/cli/issues/5960
shopify,cli,Change proxy server port  when run in localhost,1,,2025-05-15,https://github.com/shopify/cli/issues/5937
shopify,cli,[Bug]: Theme ID mismatch,0,Type: Bug,2025-05-26,https://github.com/shopify/cli/issues/5904
shopify,cli,[Bug]: unable to get local issuer certificate,34,"Type: Bug, Area: @shopify/theme",2025-05-20,https://github.com/shopify/cli/issues/5858
shopify,cli,Shopify CLI: Command auth login not found,1,,2025-05-16,https://github.com/shopify/cli/issues/5812
shopify,dev-mcp,"Bug: `@shopify/dev-mcp@latest` fails to run due to `import ... with { type: """"json"""" }` — works with `1.0.2`",1,Stale,2025-06-11,https://github.com/shopify/dev-mcp/issues/47
shopify,dev-mcp,How to use MCP Server with newer versions of the Admin GraphQL API?,0,,2025-08-06,https://github.com/shopify/dev-mcp/issues/89
shopify,dev-mcp,"dev-mcp search_dev_docs response exceeds maximum allowed tokens, making it unusable for large queries",6,,2025-07-06,https://github.com/shopify/dev-mcp/issues/58
shopify,dev-mcp,MCP Framework,2,Stale,2025-05-15,https://github.com/shopify/dev-mcp/issues/28
shopify,dev-mcp,Bug: introspect_admin_schema tool missing or inaccessible schema file,0,,2025-07-10,https://github.com/shopify/dev-mcp/issues/65
shopify,dev-mcp,[Request] Add remotely hosted MCP server,0,,2025-07-08,https://github.com/shopify/dev-mcp/issues/59
shopify,dev-mcp,Instructions for absolute idiots?,0,,2025-07-01,https://github.com/shopify/dev-mcp/issues/55
shopify,flash-list,Jest mock returns `undefined`,1,bug,2025-08-12,https://github.com/shopify/flash-list/issues/1834
shopify,flash-list,still have blank cells in V2，RN 0.79.2,0,bug,2025-08-12,https://github.com/shopify/flash-list/issues/1833
shopify,flash-list,v2: maintainVisibleContentPosition doesn't work in horizontal,2,bug,2025-08-02,https://github.com/shopify/flash-list/issues/1817
shopify,flash-list,V2: Invalid attribute disableRecycling,0,bug,2025-08-12,https://github.com/shopify/flash-list/issues/1831
shopify,flash-list,onEndReached calls infinitilly in v2,2,bug,2025-07-26,https://github.com/shopify/flash-list/issues/1795
shopify,flash-list,Items overlap in FlashList v2,7,bug,2025-07-27,https://github.com/shopify/flash-list/issues/1797
shopify,flash-list,Scroll position changes when navigating back to a list in react navigation stack,1,bug,2025-08-02,https://github.com/shopify/flash-list/issues/1816
shopify,flash-list,🐛 Bug Report: Infinite Render Loop in FlashList v2 (setRenderId),20,bug,2025-07-14,https://github.com/shopify/flash-list/issues/1773
shopify,flash-list,'Maximum update depth exceeded' issue,7,bug,2025-07-21,https://github.com/shopify/flash-list/issues/1792
shopify,flash-list,Loading another Flashlist causes a horizontal scroll bar to appear - IOS,0,bug,2025-08-07,https://github.com/shopify/flash-list/issues/1828
shopify,flash-list,FlashList Small Gap Sometimes Between Items with Fractional Heights,0,bug,2025-08-07,https://github.com/shopify/flash-list/issues/1827
shopify,flash-list,v2: Horizontal list overflow clipped,2,bug,2025-08-04,https://github.com/shopify/flash-list/issues/1822
shopify,flash-list,V2: MVCP not adjusting position when item above changes layout,1,bug,2025-08-04,https://github.com/shopify/flash-list/issues/1823
shopify,flash-list,Getting 'StickyContainer' error,1,bug,2025-07-27,https://github.com/shopify/flash-list/issues/1796
shopify,flash-list,"[v2.0.0, v2.0.0-rc] inverted={true} not working on both iOS and Android",1,bug,2025-08-01,https://github.com/shopify/flash-list/issues/1814
shopify,flash-list,Missing `tslib` package,1,bug,2025-08-01,https://github.com/shopify/flash-list/issues/1812
shopify,flash-list,[BUG] FlashList inside Stack of expo-router overlapping content,1,bug,2025-07-16,https://github.com/shopify/flash-list/issues/1787
shopify,flash-list,"Unlike FlatList, which resizes properly when the screen dimensions change, the FlashList container does not adjust its size correctly.",6,"bug, v2.0",2025-06-10,https://github.com/shopify/flash-list/issues/1717
shopify,flash-list,ItemSeparatorComponent is rendered on second to last item when numColumns={2},0,bug,2025-07-30,https://github.com/shopify/flash-list/issues/1809
shopify,flash-list,React Native 0.80.1 in new Arch - lost items when scrolling,8,bug,2025-07-11,https://github.com/shopify/flash-list/issues/1771
shopify,flash-list,New arch RN v0.79.4 performance issues,11,"bug, v2.0",2025-06-24,https://github.com/shopify/flash-list/issues/1751
shopify,flash-list,[Bug] [v2] Visible content position is not maintained when items are added and removed at the same time,5,"bug, P1, v2.0",2025-05-20,https://github.com/shopify/flash-list/issues/1667
shopify,flash-list,WebView injectedJavaScript won't run in v2,0,bug,2025-07-22,https://github.com/shopify/flash-list/issues/1794
shopify,flash-list,"If dataSource is empty, an error will be reported stating 'index out of bounds, not enough layouts'",4,"bug, v2.0",2025-06-06,https://github.com/shopify/flash-list/issues/1707
shopify,flash-list,onEndReached fires on mount in FlashList and never fires again if INITIAL_ITEM_COUNT is low...,0,bug,2025-07-20,https://github.com/shopify/flash-list/issues/1789
shopify,flash-list,Crash with CellRendererComponent and Visual Glitches on Zoomable Items,2,bug,2025-07-14,https://github.com/shopify/flash-list/issues/1778
shopify,flash-list,"maintainVisibleContentPosition set to bottom ,the bottom can become invisible when flashList height changed",6,"bug, v2.0",2025-06-14,https://github.com/shopify/flash-list/issues/1726
shopify,flash-list,Weird gap occasionally appears in my list,4,"bug, v2.0",2025-06-18,https://github.com/shopify/flash-list/issues/1742
shopify,flash-list,Scrolling jumps when removing data for invisible items,0,bug,2025-07-16,https://github.com/shopify/flash-list/issues/1786
shopify,flash-list,onStartReached isn't always called on reaching the start of the list,0,bug,2025-07-16,https://github.com/shopify/flash-list/issues/1785
shopify,flash-list,Blank items after setting scroll position with a `scrollTo...` method during a fling scroll (regression in v2),0,bug,2025-07-16,https://github.com/shopify/flash-list/issues/1784
shopify,flash-list,Crash on web with Next.js,0,bug,2025-07-16,https://github.com/shopify/flash-list/issues/1783
shopify,flash-list,FlashList scrolls to top on re-render with useInfiniteQuery data,0,bug,2025-07-16,https://github.com/shopify/flash-list/issues/1782
shopify,flash-list,Expo 53 Flashlist v2 error,2,"bug, v2.0",2025-06-25,https://github.com/shopify/flash-list/issues/1752
shopify,flash-list,[v2] ListFooterComponent blinks after scrollToEnd,0,"bug, v2.0",2025-07-12,https://github.com/shopify/flash-list/issues/1772
shopify,flash-list,"When loading new, Can not show RefreshControl",1,bug,2025-05-28,https://github.com/shopify/flash-list/issues/1678
shopify,flash-list,refactor: allow disable list item animation,2,,2025-06-28,https://github.com/shopify/flash-list/issues/1753
shopify,flash-list,[Bug] [v2] Autoscroll to bottom doesn't work when items are changing its size,6,"bug, P1, v2.0",2025-05-20,https://github.com/shopify/flash-list/issues/1666
shopify,flash-list,"[Bug] [v2] When list items doesn't occupy its full height, last item is hidden",7,"bug, P1, v2.0",2025-05-23,https://github.com/shopify/flash-list/issues/1670
