company;github_org;repo;hyperlink;last_commit;days_since_commit;activity_status;stars;language;is_fork;is_archived
Microsoft;microsoft;Generative-AI-for-beginners-dotnet;https://github.com/microsoft/Generative-AI-for-beginners-dotnet;2025-08-18;0;Very Active;1735;C#;False;False
Microsoft;microsoft;DAViD;https://github.com/microsoft/DAViD;2025-07-25;24;Active;308;Python;False;False
Microsoft;microsoft;aurora;https://github.com/microsoft/aurora;2025-08-18;0;Very Active;715;Python;False;False
Microsoft;microsoft;semantic-link-labs;https://github.com/microsoft/semantic-link-labs;2025-08-13;5;Very Active;379;Python;False;False
Microsoft;microsoft;Detours;https://github.com/microsoft/Detours;2025-08-12;6;Very Active;5867;C++;False;False
Microsoft;microsoft;SeerAttention;https://github.com/microsoft/SeerAttention;2025-08-06;11;Active;146;Python;False;False
Microsoft;microsoft;AzureTRE;https://github.com/microsoft/AzureTRE;2025-07-31;18;Active;210;Python;False;False
Microsoft;microsoft;Windows-Cross-Device;https://github.com/microsoft/Windows-Cross-Device;2025-08-18;0;Very Active;13;Kotlin;False;False
Microsoft;microsoft;GUI-Actor;https://github.com/microsoft/GUI-Actor;2025-08-06;11;Active;321;Python;False;False
Microsoft;microsoft;react-native-windows-samples;https://github.com/microsoft/react-native-windows-samples;2025-08-18;0;Very Active;513;C#;False;False
Microsoft;microsoft;mimalloc;https://github.com/microsoft/mimalloc;2025-08-13;4;Very Active;11864;C;False;False
Microsoft;microsoft;rushstack;https://github.com/microsoft/rushstack;2025-08-13;4;Very Active;6270;TypeScript;False;False
Microsoft;microsoft;fluentui-react-native;https://github.com/microsoft/fluentui-react-native;2025-08-13;4;Very Active;1377;TypeScript;False;False
Microsoft;microsoft;Microsoft-Win32-Content-Prep-Tool;https://github.com/microsoft/Microsoft-Win32-Content-Prep-Tool;2025-08-13;4;Very Active;1214;;False;False
Microsoft;microsoft;mssql-django;https://github.com/microsoft/mssql-django;2025-08-18;0;Very Active;377;Python;False;False
Microsoft;microsoft;fabric-rti-mcp;https://github.com/microsoft/fabric-rti-mcp;2025-08-15;3;Very Active;42;Python;False;False
Microsoft;microsoft;mattergen;https://github.com/microsoft/mattergen;2025-08-15;3;Very Active;1454;Python;False;False
Microsoft;microsoft;PhiCookBook;https://github.com/microsoft/PhiCookBook;2025-08-13;5;Very Active;3479;Jupyter Notebook;False;False
Microsoft;microsoft;WPF-Samples;https://github.com/microsoft/WPF-Samples;2025-07-25;24;Active;5453;C#;False;False
Microsoft;microsoft;component-detection;https://github.com/microsoft/component-detection;2025-08-14;3;Very Active;497;C#;False;False
Microsoft;microsoft;SCXcore-osskits;https://github.com/microsoft/SCXcore-osskits;2025-08-18;0;Very Active;8;Shell;False;False
Microsoft;microsoft;crescent-credentials;https://github.com/microsoft/crescent-credentials;2025-08-15;2;Very Active;35;Circom;False;False
Microsoft;microsoft;TypeScript-DOM-lib-generator;https://github.com/microsoft/TypeScript-DOM-lib-generator;2025-08-18;0;Very Active;683;TypeScript;False;False
Microsoft;microsoft;demikernel;https://github.com/microsoft/demikernel;2025-08-09;9;Active;1166;Rust;False;False
Microsoft;microsoft;mcp-dotnet-samples;https://github.com/microsoft/mcp-dotnet-samples;2025-08-18;0;Very Active;77;C#;False;False
Microsoft;microsoft;dion;https://github.com/microsoft/dion;2025-08-11;7;Very Active;297;Python;False;False
Microsoft;microsoft;powerbi-desktop-samples;https://github.com/microsoft/powerbi-desktop-samples;2025-07-22;26;Active;1768;;False;False
Microsoft;microsoft;PEACE;https://github.com/microsoft/PEACE;2025-08-06;11;Active;50;Python;False;False
Microsoft;microsoft;vscode-ts-customized-language-service;https://github.com/microsoft/vscode-ts-customized-language-service;2025-08-18;0;Very Active;0;TypeScript;False;False
Microsoft;microsoft;vscode-debug-value-editor;https://github.com/microsoft/vscode-debug-value-editor;2025-08-18;0;Very Active;3;TypeScript;False;False
Microsoft;microsoft;vscode-ts-file-path-support;https://github.com/microsoft/vscode-ts-file-path-support;2025-08-18;0;Very Active;12;TypeScript;False;False
Microsoft;microsoft;vscode-diagnostic-tools;https://github.com/microsoft/vscode-diagnostic-tools;2025-08-18;0;Very Active;4;TypeScript;False;False
Microsoft;microsoft;vscode-python;https://github.com/microsoft/vscode-python;2025-08-18;0;Very Active;4465;TypeScript;True;False
Microsoft;microsoft;azuredatastudio;https://github.com/microsoft/azuredatastudio;2025-08-18;0;Very Active;7698;TypeScript;False;False
Microsoft;microsoft;Document-Knowledge-Mining-Solution-Accelerator;https://github.com/microsoft/Document-Knowledge-Mining-Solution-Accelerator;2025-08-18;0;Very Active;160;C#;False;False
Microsoft;microsoft;snmalloc;https://github.com/microsoft/snmalloc;2025-08-18;0;Very Active;1717;C++;False;False
Microsoft;microsoft;mssql-jdbc;https://github.com/microsoft/mssql-jdbc;2025-08-15;3;Very Active;1089;Java;False;False
Microsoft;microsoft;coe-starter-kit;https://github.com/microsoft/coe-starter-kit;2025-08-13;4;Very Active;864;TypeScript;False;False
Microsoft;microsoft;HeurAgenix;https://github.com/microsoft/HeurAgenix;2025-08-06;11;Active;33;Python;False;False
Microsoft;microsoft;Conversation-Knowledge-Mining-Solution-Accelerator;https://github.com/microsoft/Conversation-Knowledge-Mining-Solution-Accelerator;2025-08-18;0;Very Active;345;Python;False;False
Microsoft;microsoft;promptbench;https://github.com/microsoft/promptbench;2025-08-07;11;Active;2692;Python;False;False
Microsoft;microsoft;Nova;https://github.com/microsoft/Nova;2025-08-15;3;Very Active;777;Rust;False;False
Microsoft;microsoft;triton-shared;https://github.com/microsoft/triton-shared;2025-08-12;5;Very Active;269;MLIR;False;False
